
|K02FV       |-         |TX |2   |DA  |                    |-  |-  |LIC    |YORK, ETC.               |AZ |US |BLTTV  -19800619IH  |0.032  kW |-         |0.0     |-       |61296      |N |32 |53 |14.00 |W |109 |18 |49.00 |SOUTHERN GREENLEE COUNTY TV ASSOCIATION, INC.                               |   0.00 km |   0.00 mi |  0.00 deg |2023.  m|H       |22810     |0.      |-       |0.      |21284     |
|K02MT       |-         |TX |2   |DA  |                    |-  |-  |LIC    |PARKER                   |AZ |US |BLTVL  -19851230IA  |0.039  kW |-         |0.0     |-       |25847      |N |34 |7  |22.00 |W |114 |12 |40.00 |ARIZONA WEST MEDIA, LLC                                                     |   0.00 km |   0.00 mi |  0.00 deg |518.   m|H       |22842     |5.      |-       |9.      |84587     |
|K02HR       |-         |TX |2   |DA  |                    |-  |-  |LIC    |BULLHEAD CITY            |AZ |US |BLTTV  -4274        |0.115  kW |-         |0.0     |-       |43378      |N |35 |12 |46.00 |W |114 |33 |18.00 |MOHAVE COUNTY BOARD OF SUPERVISORS                                          |   0.00 km |   0.00 mi |  0.00 deg |378.   m|H       |20773     |170.    |-       |0.      |303988    |
|KYUM-LP     |-         |TX |2   |DA  |Z                   |-  |-  |LIC    |YUMA                     |AZ |US |BLTVL  -20050505ACF |0.1    kW |-         |0.0     |-       |74378      |N |32 |40 |34.00 |W |114 |35 |27.00 |CENTRO CRISTIANO VIDA ABUNDANTE, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |92.5   m|-       |41093     |325.    |1063080 |30.     |1060776   |
|K02JX       |-         |TX |2   |DA  |                    |-  |-  |LIC    |BRIDGEPORT, ETC.         |CA |US |BLTTV  -19800428IB  |0.004  kW |-         |0.0     |-       |43498      |N |38 |11 |10.00 |W |119 |19 |10.00 |MONO COUNTY SERVICE AREA #5                                                 |   0.00 km |   0.00 mi |  0.00 deg |2279.  m|H       |23879     |0.      |-       |0.      |19853     |
|K02OD       |-         |TX |2   |DA  |                    |-  |-  |LIC    |SHELTER COVE             |CA |US |BLTTV  -19920813JE  |0.003  kW |-         |0.0     |-       |53381      |N |40 |1  |56.00 |W |124 |2  |20.00 |POLLACK/BELZ BROADCASTING CO., LLC                                          |   0.00 km |   0.00 mi |  0.00 deg |607.   m|H       |21839     |0.      |-       |9.      |176104    |
|K02CN       |-         |TX |2   |DA  |                    |-  |-  |LIC    |DUNSMUIR, ETC.           |CA |US |BLTTV  -4615        |0.04   kW |-         |0.0     |-       |22571      |N |41 |13 |30.00 |W |122 |18 |0.00  |FREEDOM BROADCASTING OF OREGON LICENSEE, LLC                                |   0.00 km |   0.00 mi |  0.00 deg |1475.  m|H       |22800     |351.    |-       |0.      |303994    |
|K02FF       |-         |TX |2   |DA  |                    |-  |-  |LIC    |LAKEHEAD                 |CA |US |BLTTV  -3832        |0.014  kW |-         |0.0     |-       |8294       |N |40 |52 |17.00 |W |122 |22 |31.00 |BLUESTONE LICENSE HOLDINGS INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |1561.  m|H       |20186     |0.      |-       |0.      |304007    |
|K02HY       |-         |TX |2   |DA  |                    |-  |-  |LIC    |RIDGECREST, ETC.         |CA |US |BLTTV  -4566        |0.037  kW |-         |0.0     |-       |28584      |N |35 |39 |44.00 |W |117 |36 |12.00 |INDIAN WELLS VALLEY TV BOOSTER, INC.                                        |   0.00 km |   0.00 mi |  0.00 deg |895.   m|H       |20776     |240.    |-       |0.      |304009    |
|KCWQ-LP     |-         |TX |2   |DA  |+                   |-  |-  |LIC    |PALM SPRINGS             |CA |US |BLTVL  -20060928ALV |1.     kW |-         |0.0     |-       |130100     |N |33 |51 |58.00 |W |116 |26 |2.00  |GULF-CALIFORNIA BROADCAST COMPANY                                           |   0.00 km |   0.00 mi |  0.00 deg |485.   m|-       |70786     |0.      |1220472 |11.     |1151630   |
