146.9479014,146.9479014,146.9479014,146.9479014,146.9479014,146.9479014,146.9479014,146.7051386
140.9273014,140.9273014,140.9273014,140.9273014,140.9273014,140.9273014,140.9273014,140.6321386
137.4054763,137.4054763,137.4054763,137.4054763,137.4054763,137.4054763,137.4054763,137.0796614
134.9067015,134.9067015,134.9067015,134.9067015,134.9067015,134.9067015,134.9023095,134.5591386
132.9685013,132.3207602,132.3466858,132.9128586,132.9685013,132.9685013,132.8461547,132.6040693
130.7755318,129.8705947,130.0485542,130.7494006,131.3848764,131.3848764,131.166154,131.0066614
128.5304803,127.7990093,128.1055116,128.9202229,129.7216187,130.0080374,129.7457336,129.6560722
126.5857282,126.0045204,126.4223715,127.3357172,128.2448016,128.657788,128.5153095,128.4861386
124.8703353,124.421669,124.9377368,125.938084,126.9421565,127.4667837,127.4299985,127.4541841
123.3358641,123.0057602,123.6096858,124.6878586,125.7769008,126.401394,126.4591547,126.5310693
113.2408641,113.6907602,114.8726858,116.4628586,118.1109008,119.392394,120.0721547,120.4580693
107.3356677,108.2418345,109.7618684,111.651542,113.6265782,115.2923918,116.3359992,116.9055921
103.1458641,104.3757602,106.1356858,108.2378586,110.4449008,112.383394,113.6851547,114.3850693
99.896,101.377,103.323,105.59,107.977,110.127,111.629,112.43
97.24066767,98.92683451,101.0248684,103.426542,105.9605782,108.2833918,109.9489992,110.8325921
94.99561618,96.8552491,99.08182581,101.5973643,104.2557179,106.7246434,108.5285789,109.4820029
93.05086412,95.0607602,97.39868577,100.0128586,102.7789008,105.374394,107.2981547,108.3120693
91.33547123,93.47790882,95.91405103,98.61522544,101.4762557,104.1833897,106.2128438,107.2801148
89.801,92.062,94.586,97.365,100.311,103.118,105.242,106.357
79.706,82.747,85.849,89.14,92.645,96.109,98.855,100.284
73.282,76.974,80.558,84.224,88.083,91.944,95.088,96.729
68.488,72.657,76.656,80.649,84.792,88.95,92.398,94.205
64.662,69.165,73.508,77.796,82.19,86.597,90.298,92.246
61.483,66.218,70.839,75.392,80.016,84.646,88.569,90.643
58.767,63.664,68.506,73.293,78.132,82.966,87.093,89.286
56.401,61.408,66.423,71.415,76.454,81.481,85.802,88.108
54.306,59.39,64.538,69.705,74.929,80.141,84.649,87.066
52.428,57.563,62.814,68.129,73.521,78.91,83.601,86.132
50.73,55.896,61.223,66.662,72.206,77.764,82.637,85.284
